gene	accession	hmmsource
VOG0001	VOG0001	pvog
VOG0002	VOG0002	pvog
VOG0005	VOG0005	pvog
VOG0006	VOG0006	pvog
VOG0007	VOG0007	pvog
VOG0008	VOG0008	pvog
VOG0009	VOG0009	pvog
VOG0010	VOG0010	pvog
VOG0011	VOG0011	pvog
VOG0012	VOG0012	pvog
VOG0013	VOG0013	pvog
VOG0014	VOG0014	pvog
VOG0015	VOG0015	pvog
VOG0016	VOG0016	pvog
VOG0017	VOG0017	pvog
VOG0018	VOG0018	pvog
VOG0019	VOG0019	pvog
VOG0020	VOG0020	pvog
VOG0021	VOG0021	pvog
VOG0024	VOG0024	pvog
VOG0025	VOG0025	pvog
VOG0026	VOG0026	pvog
VOG0028	VOG0028	pvog
VOG0029	VOG0029	pvog
VOG0030	VOG0030	pvog
VOG0031	VOG0031	pvog
VOG0034	VOG0034	pvog
VOG0035	VOG0035	pvog
VOG0037	VOG0037	pvog
VOG0038	VOG0038	pvog
VOG0040	VOG0040	pvog
VOG0041	VOG0041	pvog
VOG0043	VOG0043	pvog
VOG0044	VOG0044	pvog
VOG0045	VOG0045	pvog
VOG0046	VOG0046	pvog
VOG0047	VOG0047	pvog
VOG0048	VOG0048	pvog
VOG0049	VOG0049	pvog
VOG0050	VOG0050	pvog
VOG0051	VOG0051	pvog
VOG0052	VOG0052	pvog
VOG0054	VOG0054	pvog
VOG0058	VOG0058	pvog
VOG0061	VOG0061	pvog
VOG0064	VOG0064	pvog
VOG0065	VOG0065	pvog
VOG0066	VOG0066	pvog
VOG0067	VOG0067	pvog
VOG0068	VOG0068	pvog
VOG0069	VOG0069	pvog
VOG0079	VOG0079	pvog
VOG0080	VOG0080	pvog
VOG0083	VOG0083	pvog
VOG0085	VOG0085	pvog
VOG0086	VOG0086	pvog
VOG0088	VOG0088	pvog
VOG0090	VOG0090	pvog
VOG0092	VOG0092	pvog
VOG0094	VOG0094	pvog
VOG0095	VOG0095	pvog
VOG0098	VOG0098	pvog
VOG0100	VOG0100	pvog
VOG0101	VOG0101	pvog
VOG0102	VOG0102	pvog
VOG0103	VOG0103	pvog
VOG0104	VOG0104	pvog
VOG0105	VOG0105	pvog
VOG0106	VOG0106	pvog
VOG0107	VOG0107	pvog
VOG0108	VOG0108	pvog
VOG0109	VOG0109	pvog
VOG0113	VOG0113	pvog
VOG0114	VOG0114	pvog
VOG0115	VOG0115	pvog
VOG0116	VOG0116	pvog
VOG0117	VOG0117	pvog
VOG0118	VOG0118	pvog
VOG0122	VOG0122	pvog
VOG0125	VOG0125	pvog
VOG0126	VOG0126	pvog
VOG0127	VOG0127	pvog
VOG0128	VOG0128	pvog
VOG0129	VOG0129	pvog
VOG0131	VOG0131	pvog
VOG0133	VOG0133	pvog
VOG0134	VOG0134	pvog
VOG0136	VOG0136	pvog
VOG0139	VOG0139	pvog
VOG0141	VOG0141	pvog
VOG0142	VOG0142	pvog
VOG0143	VOG0143	pvog
VOG0144	VOG0144	pvog
VOG0145	VOG0145	pvog
VOG0149	VOG0149	pvog
VOG0151	VOG0151	pvog
VOG0152	VOG0152	pvog
VOG0154	VOG0154	pvog
VOG0156	VOG0156	pvog
VOG0157	VOG0157	pvog
VOG0158	VOG0158	pvog
VOG0159	VOG0159	pvog
VOG0162	VOG0162	pvog
VOG0163	VOG0163	pvog
VOG0166	VOG0166	pvog
VOG0167	VOG0167	pvog
VOG0168	VOG0168	pvog
VOG0169	VOG0169	pvog
VOG0170	VOG0170	pvog
VOG0171	VOG0171	pvog
VOG0172	VOG0172	pvog
VOG0173	VOG0173	pvog
VOG0174	VOG0174	pvog
VOG0175	VOG0175	pvog
VOG0176	VOG0176	pvog
VOG0177	VOG0177	pvog
VOG0178	VOG0178	pvog
VOG0179	VOG0179	pvog
VOG0181	VOG0181	pvog
VOG0182	VOG0182	pvog
VOG0183	VOG0183	pvog
VOG0186	VOG0186	pvog
VOG0189	VOG0189	pvog
VOG0190	VOG0190	pvog
VOG0192	VOG0192	pvog
VOG0193	VOG0193	pvog
VOG0194	VOG0194	pvog
VOG0195	VOG0195	pvog
VOG0196	VOG0196	pvog
VOG0197	VOG0197	pvog
VOG0198	VOG0198	pvog
VOG0202	VOG0202	pvog
VOG0204	VOG0204	pvog
VOG0205	VOG0205	pvog
VOG0207	VOG0207	pvog
VOG0209	VOG0209	pvog
VOG0217	VOG0217	pvog
VOG0221	VOG0221	pvog
VOG0223	VOG0223	pvog
VOG0226	VOG0226	pvog
VOG0227	VOG0227	pvog
VOG0233	VOG0233	pvog
VOG0234	VOG0234	pvog
VOG0236	VOG0236	pvog
VOG0237	VOG0237	pvog
VOG0238	VOG0238	pvog
VOG0239	VOG0239	pvog
VOG0242	VOG0242	pvog
VOG0243	VOG0243	pvog
VOG0244	VOG0244	pvog
VOG0245	VOG0245	pvog
VOG0248	VOG0248	pvog
VOG0249	VOG0249	pvog
VOG0251	VOG0251	pvog
VOG0253	VOG0253	pvog
VOG0254	VOG0254	pvog
VOG0258	VOG0258	pvog
VOG0259	VOG0259	pvog
VOG0260	VOG0260	pvog
VOG0261	VOG0261	pvog
VOG0263	VOG0263	pvog
VOG0264	VOG0264	pvog
VOG0265	VOG0265	pvog
VOG0267	VOG0267	pvog
VOG0273	VOG0273	pvog
VOG0274	VOG0274	pvog
VOG0275	VOG0275	pvog
VOG0278	VOG0278	pvog
VOG0280	VOG0280	pvog
VOG0281	VOG0281	pvog
VOG0283	VOG0283	pvog
